# Darktide Penance Export
# Mod Version: 2.4.9
# Account: John Darktide
# Account ID: 00000000-0000-0000-0000-000000000000
# Platform: Steam
# Number of Characters: 5
# Account Level: 150
# Account True Level: 601
# Account Prestige: 37
#
# All Characters:
#   1. Bonk (Ogryn) - Level 30 (True: 103, Prestige: 6)
#   2. Dickot (Zealot) - Level 30 (True: 132, Prestige: 8)
#   3. JudgeSomething (Arbitrator) - Level 30 (True: 145, Prestige: 9)
#   4. Rudge (Veteran) - Level 30 (True: 45, Prestige: 2)
#   5. Montov (Psyker) - Level 30 (True: 176, Prestige: 12)
#
# Export Character: Rudge
# Export Archetype: Veteran
# Export Character Level: 30
# Export Character True Level: 45
# Export Additional Levels: +15
# Export Character Prestige: 2
#
# Export Date: 2026-01-26 16:12:01
# Export Timezone: -0500
# Total Penances: 1028
# Completed Penances: 884
# Completion Rate: 86.0%

Export_Account,Export_Platform,Export_Character,Export_Archetype,Export_Mod_Date,Achievement_ID,Category,Icon,Title,Description,Status,Progress,Goal,Progress_Percentage,Completion_Time,Score,Stats_Detail,Mastery_Level,Mastery_XP,Mastery_XP_Next_Level,Mastery_Progress_Percent
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,group_mission_class_adamant_meta_numeric_achievement_completion_2,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/adamant/achievement_icon_adamant_0001,Arbitrator Master of War,Complete 15 out of the following Penances.,Completed,45,15,300%,2025-07-01 21:46:09,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,group_mission_class_adamant_meta_numeric_achievement_completion_3,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/adamant/achievement_icon_adamant_0001,Arbitrator Master of War,Complete 25 out of the following Penances.,Completed,45,25,180%,2025-07-25 00:24:33,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,group_mission_class_adamant_meta_numeric_achievement_completion_4,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/adamant/achievement_icon_adamant_0001,Arbitrator Master of War,Complete 35 out of the following Penances.,Completed,45,35,128%,2025-08-16 17:16:10,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,group_mission_class_adamant_meta_numeric_achievement_completion_1,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/adamant/achievement_icon_adamant_0001,Arbitrator Master of War,Complete 5 out of the following Penances.,Completed,45,5,900%,2025-06-29 21:13:14,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,group_mission_class_adamant_meta_numeric_achievement_completion_5,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/adamant/achievement_icon_adamant_0001,Arbitrator Master of War,Complete 45 out of the following Penances.,Completed,45,45,100%,2025-10-14 12:48:51,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,adamant_companion_pounced_special_enemies,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/adamant/achievement_icon_adamant_0020,Targeted Kills,"Have your Cyber-Mastiff Pounce on 50 Bombers, Snipers, and Trappers.",Completed,1497,50,2994%,2025-07-22 02:27:25,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,adamant_saved_by_companion_from_disabling_hound,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/adamant/achievement_icon_adamant_0024,Loyal Companion,"Get Rescued from a Pox Hound that has pounced on you, by your Cyber-Mastiff.",Completed,0,1,0%,2025-07-01 00:18:14,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,rank_adamant_2_6,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/adamant/achievement_icon_adamant_0002,"By the Lex, I am Witness! (6)",Reach Trust Level 30 as an Arbitrator.,Completed,30,30,100%,2025-07-26 02:18:21,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,mission_zone_tank_foundry_1,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_0003,Metalfab 36 Tour of Duty,Complete 10 missions in Metalfab 36,Completed,55,10,550%,2025-07-26 15:11:59,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,mission_zone_tank_foundry_2,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_0003,Metalfab 36 Tour of Duty,Complete 25 missions in Metalfab 36,Completed,55,25,220%,2025-09-18 02:12:40,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,mission_zone_tank_foundry_destructible_1,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_0004,Metalfab 36 Purge the Unclean,Destroy 10 Heretical Idols within Metalfab 36.,Completed,146,10,1460%,2025-06-29 01:30:12,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,mission_zone_tank_foundry_destructible_2,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_0004,Metalfab 36 Purge the Unclean,Destroy 25 Heretical Idols within Metalfab 36.,Completed,146,25,584%,2025-07-26 15:11:59,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,mission_zone_lm_cooling_mission_collectible_1,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_puzzle_0006,Power Matrix HL-17-36 Relic Requisition,Retrieve and extract with the Martyr's Skull in Power Matrix HL-17-36,Completed,1,1,100%,2025-07-26 15:11:59,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,mission_zone_fm_cargo_mission_collectible_1,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_puzzle_0007,Consignment Yard HL-17-36 Relic Requisition,Retrieve and extract with the Martyr's Skull in Consignment Yard HL-17-36,Completed,1,1,100%,2025-08-04 21:46:45,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,mission_zone_dm_forge_mission_collectible_1,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_puzzle_0005,Smelter Complex HL-17-36 Relic Requisition,Retrieve and extract with the Martyr's Skull in Smelter Complex HL-17-36,Completed,1,1,100%,2025-06-29 01:30:12,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,mission_zone_tank_foundry_3,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_0003,Metalfab 36 Tour of Duty,Complete 50 missions in Metalfab 36,Completed,55,50,110%,2026-01-03 19:35:39,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,group_mission_zone_wide_tank_foundry_completion,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_0018,"I Came, I Saw, I Conquered! Metalfab 36",Complete the following penances within Metalfab 36.,Completed,5,5,100%,2026-01-03 19:35:39,20,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,mission_zone_tank_foundry_destructible_3,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_0004,Metalfab 36 Purge the Unclean,Destroy 50 Heretical Idols within Metalfab 36.,Completed,146,50,292%,2025-08-23 18:36:02,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,revive_1,loc_achievement_category_teamplay_label,content/ui/textures/icons/achievements/achievement_icon_0083,War's Not Over (1),Rescue a total of 10 Operatives.,Completed,564,10,5640%,2023-01-04 03:05:41,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,revive_2,loc_achievement_category_teamplay_label,content/ui/textures/icons/achievements/achievement_icon_0083,War's Not Over (2),Rescue a total of 50 Operatives.,Completed,564,50,1128%,2023-11-10 02:32:06,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,revive_4,loc_achievement_category_teamplay_label,content/ui/textures/icons/achievements/achievement_icon_0083,War's Not Over (4),Rescue a total of 250 Operatives.,Completed,564,250,225%,2025-08-16 15:10:04,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,revive_5,loc_achievement_category_teamplay_label,content/ui/textures/icons/achievements/achievement_icon_0083,War's Not Over (5),Rescue a total of 500 Operatives.,Completed,564,500,112%,2025-12-21 14:17:27,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,assists_1,loc_achievement_category_teamplay_label,content/ui/textures/icons/achievements/achievement_icon_0084,Up and at 'Em! (1),Help 10 downed Operatives back up.,Completed,1192,10,11920%,2022-12-02 02:18:22,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,assists_2,loc_achievement_category_teamplay_label,content/ui/textures/icons/achievements/achievement_icon_0084,Up and at 'Em! (2),Help 50 downed Operatives back up.,Completed,1192,50,2384%,2023-10-15 14:38:25,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,assists_4,loc_achievement_category_teamplay_label,content/ui/textures/icons/achievements/achievement_icon_0084,Up and at 'Em! (4),Help 500 downed Operatives back up.,Completed,1192,500,238%,2025-07-01 00:18:14,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,assists_5,loc_achievement_category_teamplay_label,content/ui/textures/icons/achievements/achievement_icon_0084,Up and at 'Em! (5),Help 1000 downed Operatives back up.,Completed,1192,1000,119%,2025-12-08 13:24:34,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,deployables_5,loc_achievement_category_teamplay_label,content/ui/textures/icons/achievements/achievement_icon_0076,Discipline & Teamwork (5),Share 500 ammo or health packs.,In Progress,474,500,94%,,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,deployables_2,loc_achievement_category_teamplay_label,content/ui/textures/icons/achievements/achievement_icon_0076,Discipline & Teamwork (2),Share 50 ammo or health packs.,Completed,474,50,948%,2023-10-19 01:05:02,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,deployables_4,loc_achievement_category_teamplay_label,content/ui/textures/icons/achievements/achievement_icon_0076,Discipline & Teamwork (4),Share 250 ammo or health packs.,Completed,474,250,189%,2025-08-06 02:03:24,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,horde_kills_during_blue_stimm,loc_achievement_category_teamplay_label,content/ui/textures/icons/achievements/havoc_achievements/havoc_mission_use_blue_stim,Redline,Kill 1000 enemies while under the influence of the Celerity Stimm.,In Progress,963,1000,96%,,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,ability_time_saved_using_yellow_stimm,loc_achievement_category_teamplay_label,content/ui/textures/icons/achievements/havoc_achievements/havoc_mission_use_yellow_stim,No Time to Wait,Reduce your Ability cooldowns by 1000 seconds using the Concentration Stimm.,Completed,1960,1000,196%,2025-09-13 01:30:12,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,corruption_healed_using_green_stimm,loc_achievement_category_teamplay_label,content/ui/textures/icons/achievements/havoc_achievements/havoc_mission_use_green_stim,Cleanse and Purify,Heal 1000 Corruption damage on yourself or team members using the Med Stimm.,Completed,6924,1000,692%,2025-07-30 01:28:05,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,elites_and_specials_killed_using_red_stimm,loc_achievement_category_teamplay_label,content/ui/textures/icons/achievements/havoc_achievements/havoc_mission_use_red_stim,Liquid Wrath,"While under the effect of the Combat stimm, Kill 50 Elites and Specialists.",Completed,110,50,220%,2025-09-10 01:38:02,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,total_syringes_used,loc_achievement_category_teamplay_label,content/ui/textures/icons/achievements/havoc_achievements/havoc_mission_total_syringes,The right tool for the job.,Use 20 Stimms on yourself or teammates,Completed,428,20,2140%,2025-06-26 22:52:11,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,revive_3,loc_achievement_category_teamplay_label,content/ui/textures/icons/achievements/achievement_icon_0083,War's Not Over (3),Rescue a total of 100 Operatives.,Completed,564,100,564%,2023-11-28 03:22:12,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,assists_3,loc_achievement_category_teamplay_label,content/ui/textures/icons/achievements/achievement_icon_0084,Up and at 'Em! (3),Help 100 downed Operatives back up.,Completed,1192,100,1192%,2023-10-31 11:03:58,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,flawless_team,loc_achievement_category_teamplay_label,content/ui/textures/icons/achievements/achievement_icon_0085,Dream Team,Complete 100 missions without anyone being downed.,In Progress,69,100,69%,,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,coherency_toughness,loc_achievement_category_teamplay_label,content/ui/textures/icons/achievements/achievement_icon_0086,Buddy Up,Replenish 2000 Toughness from Coherency.,Completed,2000,2000,100%,2022-12-01 00:58:15,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,deployables_3,loc_achievement_category_teamplay_label,content/ui/textures/icons/achievements/achievement_icon_0076,Discipline & Teamwork (3),Share 100 ammo or health packs.,Completed,474,100,474%,2023-11-04 00:49:08,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,group_cooperation,loc_achievement_category_teamplay_label,content/ui/textures/icons/achievements/achievement_icon_0088,Good Samaritan,Complete the following Team Penances.,In Progress,4,5,80%,,20,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,revive_all,loc_achievement_category_teamplay_label,content/ui/textures/icons/achievements/achievement_icon_0087,Leave No One Behind,Complete a single mission after Rescuing 3 different Operatives at least once from captivity.,Completed,5,3,166%,2023-11-10 12:34:17,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,deployables_1,loc_achievement_category_teamplay_label,content/ui/textures/icons/achievements/achievement_icon_0076,Discipline & Teamwork (1),Share 25 ammo or health packs.,Completed,474,25,1896%,2023-10-13 11:51:41,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_lm_cooling_mission_2_auric,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0014,Power Matrix HL-17-36 (2) [AURIC],Complete Power Matrix HL-17-36 on Damnation Threat on the Auric Mission Board.,Completed,1,1,100%,2025-09-14 01:46:14,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_fm_cargo_mission_1_auric,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0010,Consignment Yard HL-17-36 (1) [AURIC],Complete Consignment Yard HL-17-36 on Heresy Threat on the Auric Mission Board.,Completed,1,1,100%,2025-06-29 19:03:08,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_fm_cargo_mission_2_auric,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0010,Consignment Yard HL-17-36 (2) [AURIC],Complete Consignment Yard HL-17-36 on Damnation Threat on the Auric Mission Board.,Completed,1,1,100%,2025-06-29 19:03:08,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_dm_forge_mission_1_auric,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0012,Smelter Complex HL-17-36 (1) [AURIC],Complete Smelter Complex HL-17-36 on Heresy Threat on the Auric Mission Board.,Completed,1,1,100%,2025-10-04 13:15:53,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_dm_forge_mission_2_auric,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0012,Smelter Complex HL-17-36 (2) [AURIC],Complete Smelter Complex HL-17-36 on Damnation Threat on the Auric Mission Board.,Completed,1,1,100%,2025-10-04 13:15:53,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_lm_cooling_mission_5,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0013,Power Matrix HL-17-36 (5),Complete Power Matrix HL-17-36 on Damnation Threat.,Completed,1,1,100%,2024-05-26 03:12:54,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_fm_cargo_mission_5,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0009,Consignment Yard HL-17-36 (5),Complete Consignment Yard HL-17-36 on Damnation Threat.,Completed,1,1,100%,2025-06-29 19:03:08,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_dm_forge_mission_5,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0011,Smelter Complex HL-17-36 (5),Complete Smelter Complex HL-17-36 on Damnation Threat.,Completed,1,1,100%,2025-06-29 01:30:12,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_fm_cargo_mission_4,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0009,Consignment Yard HL-17-36 (4),Complete Consignment Yard HL-17-36 on Heresy Threat.,Completed,1,1,100%,2025-06-29 19:03:08,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_dm_forge_mission_4,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0011,Smelter Complex HL-17-36 (4),Complete Smelter Complex HL-17-36 on Heresy Threat.,Completed,1,1,100%,2025-06-29 01:30:12,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_lm_cooling_mission_3,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0013,Power Matrix HL-17-36 (3),Complete Power Matrix HL-17-36 on Malice Threat.,Completed,1,1,100%,2024-05-26 03:12:54,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_fm_cargo_mission_3,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0009,Consignment Yard HL-17-36 (3),Complete Consignment Yard HL-17-36 on Malice Threat.,Completed,1,1,100%,2024-05-07 01:48:25,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_dm_forge_mission_3,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0011,Smelter Complex HL-17-36 (3),Complete Smelter Complex HL-17-36 on Malice Threat.,Completed,1,1,100%,2025-06-29 01:30:12,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_lm_cooling_mission_2,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0013,Power Matrix HL-17-36 (2),Complete Power Matrix HL-17-36 on Uprising Threat.,Completed,1,1,100%,2024-05-26 03:12:54,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_fm_cargo_mission_2,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0009,Consignment Yard HL-17-36 (2),Complete Consignment Yard HL-17-36 on Uprising Threat.,Completed,1,1,100%,2024-05-07 01:48:25,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_dm_forge_mission_2,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0011,Smelter Complex HL-17-36 (2),Complete Smelter Complex HL-17-36 on Uprising Threat.,Completed,1,1,100%,2025-06-29 01:30:12,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_fm_cargo_mission_1,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0009,Consignment Yard HL-17-36 (1),Complete Consignment Yard HL-17-36 on Sedition Threat.,Completed,1,1,100%,2024-05-07 01:48:25,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_dm_forge_mission_1,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0011,Smelter Complex HL-17-36 (1),Complete Smelter Complex HL-17-36 on Sedition Threat.,Completed,1,1,100%,2025-06-29 01:30:12,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_lm_cooling_mission_4,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0013,Power Matrix HL-17-36 (4),Complete Power Matrix HL-17-36 on Heresy Threat.,Completed,1,1,100%,2024-05-26 03:12:54,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_lm_cooling_mission_1,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0013,Power Matrix HL-17-36 (1),Complete Power Matrix HL-17-36 on Sedition Threat.,Completed,1,1,100%,2024-05-26 03:12:54,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_lm_cooling_mission_1_auric,loc_achievement_subcategory_missions_tankfoundry_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0014,Power Matrix HL-17-36 (1) [AURIC],Complete Power Matrix HL-17-36 on Heresy Threat on the Auric Mission Board.,Completed,1,1,100%,2025-09-14 01:46:14,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_op_train_mission_1,loc_zone_name_operations_short,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_0040,Rolling Steel (1),Complete Rolling Steel on Sedition Threat.,Completed,1,1,100%,2025-01-11 14:40:35,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_op_train_mission_2,loc_zone_name_operations_short,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_0040,Rolling Steel (2),Complete Rolling Steel on Uprising Threat.,Completed,1,1,100%,2025-01-11 14:40:35,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_op_train_mission_3,loc_zone_name_operations_short,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_0040,Rolling Steel (3),Complete Rolling Steel on Malice Threat.,Completed,1,1,100%,2025-01-11 14:40:35,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_op_train_mission_4,loc_zone_name_operations_short,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_0040,Rolling Steel (4),Complete Rolling Steel on Heresy Threat.,Completed,1,1,100%,2025-01-11 14:40:35,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_op_train_mission_5,loc_zone_name_operations_short,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_0040,Rolling Steel (5),Complete Rolling Steel on Damnation Threat.,Completed,1,1,100%,2025-07-25 00:24:33,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_op_no_mans_land_mission_1,loc_zone_name_operations_short,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_op_no_mans_land,No Man's Land (1),Complete No Man's Land on Sedition Threat.,Completed,1,1,100%,2025-12-04 01:09:28,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_op_no_mans_land_mission_2,loc_zone_name_operations_short,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_op_no_mans_land,No Man's Land (2),Complete No Man's Land on Uprising Threat.,Completed,1,1,100%,2025-12-04 01:09:28,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_op_no_mans_land_mission_5,loc_zone_name_operations_short,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_op_no_mans_land,No Man's Land (5),Complete No Man's Land on Damnation Threat.,Completed,1,1,100%,2025-12-06 13:42:02,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_op_train_mission_1_auric,loc_zone_name_operations_short,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_0039,Rolling Steel (1) [AURIC],Complete Rolling Steel on Heresy Threat on the Auric Mission Board.,Completed,1,1,100%,2025-08-12 01:21:58,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_op_no_mans_land_mission_1_auric,loc_zone_name_operations_short,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_op_no_mans_land_hard,No Man's Land (1) [AURIC],Complete No Man's Land on Heresy Threat on the Auric Mission Board.,Completed,1,1,100%,2025-12-06 13:42:02,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_op_no_mans_land_mission_2_auric,loc_zone_name_operations_short,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_op_no_mans_land_hard,No Man's Land (2) [AURIC],Complete No Man's Land on Damnation Threat on the Auric Mission Board.,Completed,1,1,100%,2025-12-06 13:42:02,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_op_no_mans_land_mission_4,loc_zone_name_operations_short,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_op_no_mans_land,No Man's Land (4),Complete No Man's Land on Heresy Threat.,Completed,1,1,100%,2025-12-04 01:09:28,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_op_no_mans_land_mission_3,loc_zone_name_operations_short,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_op_no_mans_land,No Man's Land (3),Complete No Man's Land on Malice Threat.,Completed,1,1,100%,2025-12-04 01:09:28,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_op_train_mission_2_auric,loc_zone_name_operations_short,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_0039,Rolling Steel (2) [AURIC],Complete Rolling Steel on Damnation Threat on the Auric Mission Board.,Completed,1,1,100%,2025-08-12 01:21:58,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,mission_twins_killed_no_mines_triggered,loc_achievement_subcategory_twins_mission_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_challenge_0024,No Rebreather Required,Complete the Orthus Offensive final battle without triggering more than 3 mines.,Completed,1,1,100%,2026-01-07 13:34:54,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,mission_twins_killed_successfully_within_x,loc_achievement_subcategory_twins_mission_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_challenge_0023,Two heads are better than one,Kill both of the Karnak Twins within 5 seconds of each other.,Completed,1,1,100%,2026-01-07 12:57:12,20,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,mission_twins_secret,loc_achievement_subcategory_twins_mission_label,,Portents of Decay,Completed the secret Orthus Offensive puzzle.,Completed,1,1,100%,2025-08-24 01:14:57,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,difficult_mission_twins_hard_mode_win,loc_achievement_subcategory_twins_mission_label,,The Bell Tolls for Thee,Completed The Orthus Offensive on Damnation Threat after unlocking secret hard mode.,Completed,1,1,100%,2025-08-24 01:14:57,5,,,,,
